id,State (group),Charge (group),file matches parameter,Region,Charge/Gender,Country,File,File by parameter,State,Title 1,Year,Year1,All state count,Count,Per state count,state %,FromYear
19,PA,Sex,True,Northeast,Sex,US,State Receipts,State Receipts,PA,EEOC Charge Receipts by State,FY 2021 Sex,1/1/2021,18754,1171,1171,0.062440013,2021
20,VI,Religion,True,Territories/Armed Forces,Religion,US,State Receipts,State Receipts,VI,EEOC Charge Receipts by State,FY 2021 Religion,1/1/2021,2108,0,0,0.0,2021
21,NY,National Origin Based,True,Northeast,National Origin,US,State Receipts,State Receipts,NY,EEOC Charge Receipts by State,FY 2021 National Origin,1/1/2021,6208,360,360,0.057989691,2021
22,FM,GINA,True,Territories/Armed Forces,GINA,US,State Receipts,State Receipts,FM,EEOC Charge Receipts by State,FY 2021 GINA,1/1/2021,242,0,0,0.0,2021
23,MP,Sex,True,Territories/Armed Forces,Sex,US,State Receipts,State Receipts,MP,EEOC Charge Receipts by State,FY 2021 Sex,1/1/2021,18754,0,0,0.0,2021
24,OH,Race,True,Midwest,Race,US,State Receipts,State Receipts,OH,EEOC Charge Receipts by State,FY 2021 Race,1/1/2021,20893,790,790,0.037811707,2021
25,GA,Religion,True,South,Religion,US,State Receipts,State Receipts,GA,EEOC Charge Receipts by State,FY 2021 Religion,1/1/2021,2108,86,86,0.040796964,2021
26,MS,Sex,True,South,Sex,US,State Receipts,State Receipts,MS,EEOC Charge Receipts by State,FY 2021 Sex,1/1/2021,18754,342,342,0.01823611,2021
27,VA,GINA,True,South,GINA,US,State Receipts,State Receipts,VA,EEOC Charge Receipts by State,FY 2021 GINA,1/1/2021,242,3,3,0.012396694,2021
28,WQ,Color Based,True,Territories/Armed Forces,Color,US,State Receipts,State Receipts,WQ,EEOC Charge Receipts by State,FY 2021 Color,1/1/2021,3513,0,0,0.0,2021
29,NE,TVII Retaliation,True,Midwest,Retaliation (TVII),US,State Receipts,State Receipts,NE,EEOC Charge Receipts by State,FY 2021 TVII Retaliation  Statutes,1/1/2021,25107,43,43,0.00171267,2021
30,WQ,Sex,True,Territories/Armed Forces,Sex,US,State Receipts,State Receipts,WQ,EEOC Charge Receipts by State,FY 2021 Sex,1/1/2021,18754,0,0,0.0,2021
31,MP,Age Based,True,Territories/Armed Forces,Age,US,State Receipts,State Receipts,MP,EEOC Charge Receipts by State,FY 2021 Age,1/1/2021,12962,4,4,0.000308594,2021
32,NC,EPA,True,South,Equal Pay Act,US,State Receipts,State Receipts,NC,EEOC Charge Receipts by State,FY 2021 EPA,1/1/2021,885,32,32,0.036158192,2021
33,NY,Age Based,True,Northeast,Age,US,State Receipts,State Receipts,NY,EEOC Charge Receipts by State,FY 2021 Age,1/1/2021,12962,504,504,0.038882888,2021
34,ID,Retaliation,True,West,Retaliation (All Statutes),US,State Receipts,State Receipts,ID,EEOC Charge Receipts by State,FY 2021 Retaliation All Statutes,1/1/2021,34316,31,31,0.000903369,2021
35,IL,Religion,True,Midwest,Religion,US,State Receipts,State Receipts,IL,EEOC Charge Receipts by State,FY 2021 Religion,1/1/2021,2108,108,108,0.051233397,2021
36,WI,EPA,True,Midwest,Equal Pay Act,US,State Receipts,State Receipts,WI,EEOC Charge Receipts by State,FY 2021 EPA,1/1/2021,885,10,10,0.011299435,2021
37,RI,Disability Based,True,Northeast,Disability,US,State Receipts,State Receipts,RI,EEOC Charge Receipts by State,FY 2021 Disability,1/1/2021,22857,17,17,0.000743755,2021
38,HI,EPA,True,West,Equal Pay Act,US,State Receipts,State Receipts,HI,EEOC Charge Receipts by State,FY 2021 EPA,1/1/2021,885,1,1,0.001129944,2021
39,KS,Race,True,Midwest,Race,US,State Receipts,State Receipts,KS,EEOC Charge Receipts by State,FY 2021 Race,1/1/2021,20893,175,175,0.008376011,2021
40,WA,GINA,True,West,GINA,US,State Receipts,State Receipts,WA,EEOC Charge Receipts by State,FY 2021 GINA,1/1/2021,242,6,6,0.024793388,2021
41,LA,Disability Based,True,South,Disability,US,State Receipts,State Receipts,LA,EEOC Charge Receipts by State,FY 2021 Disability,1/1/2021,22857,278,278,0.012162576,2021
42,KY,EPA,True,South,Equal Pay Act,US,State Receipts,State Receipts,KY,EEOC Charge Receipts by State,FY 2021 EPA,1/1/2021,885,5,5,0.005649718,2021
43,VA,National Origin Based,True,South,National Origin,US,State Receipts,State Receipts,VA,EEOC Charge Receipts by State,FY 2021 National Origin,1/1/2021,6208,156,156,0.025128866,2021
44,AL,National Origin Based,True,South,National Origin,US,State Receipts,State Receipts,AL,EEOC Charge Receipts by State,FY 2021 National Origin,1/1/2021,6208,50,50,0.008054124,2021
45,CO,National Origin Based,True,West,National Origin,US,State Receipts,State Receipts,CO,EEOC Charge Receipts by State,FY 2021 National Origin,1/1/2021,6208,132,132,0.021262887,2021
46,ID,Sex,True,West,Sex,US,State Receipts,State Receipts,ID,EEOC Charge Receipts by State,FY 2021 Sex,1/1/2021,18754,19,19,0.001013117,2021
47,MH,TVII Retaliation,True,Territories/Armed Forces,Retaliation (TVII),US,State Receipts,State Receipts,MH,EEOC Charge Receipts by State,FY 2021 TVII Retaliation  Statutes,1/1/2021,25107,0,0,0.0,2021
48,IL,Age Based,True,Midwest,Age,US,State Receipts,State Receipts,IL,EEOC Charge Receipts by State,FY 2021 Age,1/1/2021,12962,841,841,0.064881963,2021
49,GA,National Origin Based,True,South,National Origin,US,State Receipts,State Receipts,GA,EEOC Charge Receipts by State,FY 2021 National Origin,1/1/2021,6208,207,207,0.033344072,2021
50,ME,Disability Based,True,Northeast,Disability,US,State Receipts,State Receipts,ME,EEOC Charge Receipts by State,FY 2021 Disability,1/1/2021,22857,20,20,0.000875005,2021
51,VT,Age Based,True,Northeast,Age,US,State Receipts,State Receipts,VT,EEOC Charge Receipts by State,FY 2021 Age,1/1/2021,12962,6,6,0.000462892,2021
52,FL,EPA,True,South,Equal Pay Act,US,State Receipts,State Receipts,FL,EEOC Charge Receipts by State,FY 2021 EPA,1/1/2021,885,35,35,0.039548023,2021
53,NM,GINA,True,West,GINA,US,State Receipts,State Receipts,NM,EEOC Charge Receipts by State,FY 2021 GINA,1/1/2021,242,1,1,0.004132231,2021
54,WY,Sex,True,West,Sex,US,State Receipts,State Receipts,WY,EEOC Charge Receipts by State,FY 2021 Sex,1/1/2021,18754,6,6,0.000319932,2021
55,CA,Sex,True,West,Sex,US,State Receipts,State Receipts,CA,EEOC Charge Receipts by State,FY 2021 Sex,1/1/2021,18754,1130,1130,0.060253813,2021
56,MH,Religion,True,Territories/Armed Forces,Religion,US,State Receipts,State Receipts,MH,EEOC Charge Receipts by State,FY 2021 Religion,1/1/2021,2108,0,0,0.0,2021
57,KS,Sex,True,Midwest,Sex,US,State Receipts,State Receipts,KS,EEOC Charge Receipts by State,FY 2021 Sex,1/1/2021,18754,212,212,0.011304255,2021
58,WI,Religion,True,Midwest,Religion,US,State Receipts,State Receipts,WI,EEOC Charge Receipts by State,FY 2021 Religion,1/1/2021,2108,27,27,0.012808349,2021
59,CO,TVII Retaliation,True,West,Retaliation (TVII),US,State Receipts,State Receipts,CO,EEOC Charge Receipts by State,FY 2021 TVII Retaliation  Statutes,1/1/2021,25107,480,480,0.019118174,2021
60,FM,EPA,True,Territories/Armed Forces,Equal Pay Act,US,State Receipts,State Receipts,FM,EEOC Charge Receipts by State,FY 2021 EPA,1/1/2021,885,0,0,0.0,2021
61,UT,GINA,True,West,GINA,US,State Receipts,State Receipts,UT,EEOC Charge Receipts by State,FY 2021 GINA,1/1/2021,242,1,1,0.004132231,2021
62,AL,EPA,True,South,Equal Pay Act,US,State Receipts,State Receipts,AL,EEOC Charge Receipts by State,FY 2021 EPA,1/1/2021,885,21,21,0.023728814,2021
63,MS,Religion,True,South,Religion,US,State Receipts,State Receipts,MS,EEOC Charge Receipts by State,FY 2021 Religion,1/1/2021,2108,19,19,0.009013283,2021
64,OH,Age Based,True,Midwest,Age,US,State Receipts,State Receipts,OH,EEOC Charge Receipts by State,FY 2021 Age,1/1/2021,12962,504,504,0.038882888,2021
65,WQ,Disability Based,True,Territories/Armed Forces,Disability,US,State Receipts,State Receipts,WQ,EEOC Charge Receipts by State,FY 2021 Disability,1/1/2021,22857,0,0,0.0,2021
66,OR,TVII Retaliation,True,West,Retaliation (TVII),US,State Receipts,State Receipts,OR,EEOC Charge Receipts by State,FY 2021 TVII Retaliation  Statutes,1/1/2021,25107,74,74,0.002947385,2021
67,WQ,National Origin Based,True,Territories/Armed Forces,National Origin,US,State Receipts,State Receipts,WQ,EEOC Charge Receipts by State,FY 2021 National Origin,1/1/2021,6208,0,0,0.0,2021
68,VT,Sex,True,Northeast,Sex,US,State Receipts,State Receipts,VT,EEOC Charge Receipts by State,FY 2021 Sex,1/1/2021,18754,14,14,0.000746507,2021
69,HI,GINA,True,West,GINA,US,State Receipts,State Receipts,HI,EEOC Charge Receipts by State,FY 2021 GINA,1/1/2021,242,1,1,0.004132231,2021
70,AP,Religion,True,Territories/Armed Forces,Religion,US,State Receipts,State Receipts,Armed Forces Pacific,EEOC Charge Receipts by State,FY 2021 Religion,1/1/2021,2108,0,0,0.0,2021
71,IN,National Origin Based,True,Midwest,National Origin,US,State Receipts,State Receipts,IN,EEOC Charge Receipts by State,FY 2021 National Origin,1/1/2021,6208,95,95,0.015302835,2021
72,WY,TVII Retaliation,True,West,Retaliation (TVII),US,State Receipts,State Receipts,WY,EEOC Charge Receipts by State,FY 2021 TVII Retaliation  Statutes,1/1/2021,25107,10,10,0.000398295,2021
73,IA,Retaliation,True,Midwest,Retaliation (All Statutes),US,State Receipts,State Receipts,IA,EEOC Charge Receipts by State,FY 2021 Retaliation All Statutes,1/1/2021,34316,90,90,0.002622683,2021
74,GA,EPA,True,South,Equal Pay Act,US,State Receipts,State Receipts,GA,EEOC Charge Receipts by State,FY 2021 EPA,1/1/2021,885,34,34,0.038418079,2021
75,RI,EPA,True,Northeast,Equal Pay Act,US,State Receipts,State Receipts,RI,EEOC Charge Receipts by State,FY 2021 EPA,1/1/2021,885,1,1,0.001129944,2021
76,TN,Race,True,South,Race,US,State Receipts,State Receipts,TN,EEOC Charge Receipts by State,FY 2021 Race,1/1/2021,20893,863,863,0.0413057,2021
77,DE,EPA,True,Northeast,Equal Pay Act,US,State Receipts,State Receipts,DE,EEOC Charge Receipts by State,FY 2021 EPA,1/1/2021,885,6,6,0.006779661,2021
78,CO,Disability Based,True,West,Disability,US,State Receipts,State Receipts,CO,EEOC Charge Receipts by State,FY 2021 Disability,1/1/2021,22857,400,400,0.017500109,2021
79,AK,Disability Based,True,West,Disability,US,State Receipts,State Receipts,AK,EEOC Charge Receipts by State,FY 2021 Disability,1/1/2021,22857,24,24,0.001050007,2021
80,KS,Color Based,True,Midwest,Color,US,State Receipts,State Receipts,KS,EEOC Charge Receipts by State,FY 2021 Color,1/1/2021,3513,54,54,0.015371477,2021
81,KY,National Origin Based,True,South,National Origin,US,State Receipts,State Receipts,KY,EEOC Charge Receipts by State,FY 2021 National Origin,1/1/2021,6208,16,16,0.00257732,2021
82,NY,Disability Based,True,Northeast,Disability,US,State Receipts,State Receipts,NY,EEOC Charge Receipts by State,FY 2021 Disability,1/1/2021,22857,928,928,0.040600254,2021
83,LA,Retaliation,True,South,Retaliation (All Statutes),US,State Receipts,State Receipts,LA,EEOC Charge Receipts by State,FY 2021 Retaliation All Statutes,1/1/2021,34316,490,490,0.014279054,2021
84,WY,Retaliation,True,West,Retaliation (All Statutes),US,State Receipts,State Receipts,WY,EEOC Charge Receipts by State,FY 2021 Retaliation All Statutes,1/1/2021,34316,21,21,0.000611959,2021
85,AK,Sex,True,West,Sex,US,State Receipts,State Receipts,AK,EEOC Charge Receipts by State,FY 2021 Sex,1/1/2021,18754,22,22,0.001173083,2021
86,RI,GINA,True,Northeast,GINA,US,State Receipts,State Receipts,RI,EEOC Charge Receipts by State,FY 2021 GINA,1/1/2021,242,0,0,0.0,2021
87,AL,Race,True,South,Race,US,State Receipts,State Receipts,AL,EEOC Charge Receipts by State,FY 2021 Race,1/1/2021,20893,768,768,0.036758723,2021
88,PR,Age Based,True,Territories/Armed Forces,Age,US,State Receipts,State Receipts,PR,EEOC Charge Receipts by State,FY 2021 Age,1/1/2021,12962,72,72,0.005554698,2021
89,PW,Color Based,True,Territories/Armed Forces,Color,US,State Receipts,State Receipts,PW,EEOC Charge Receipts by State,FY 2021 Color,1/1/2021,3513,0,0,0.0,2021
90,IN,Retaliation,True,Midwest,Retaliation (All Statutes),US,State Receipts,State Receipts,IN,EEOC Charge Receipts by State,FY 2021 Retaliation All Statutes,1/1/2021,34316,793,793,0.023108754,2021
91,VA,Color Based,True,South,Color,US,State Receipts,State Receipts,VA,EEOC Charge Receipts by State,FY 2021 Color,1/1/2021,3513,119,119,0.033874182,2021
92,CA,TVII Retaliation,True,West,Retaliation (TVII),US,State Receipts,State Receipts,CA,EEOC Charge Receipts by State,FY 2021 TVII Retaliation  Statutes,1/1/2021,25107,1581,1581,0.062970486,2021
93,ID,National Origin Based,True,West,National Origin,US,State Receipts,State Receipts,ID,EEOC Charge Receipts by State,FY 2021 National Origin,1/1/2021,6208,5,5,0.000805412,2021
94,VA,Race,True,South,Race,US,State Receipts,State Receipts,VA,EEOC Charge Receipts by State,FY 2021 Race,1/1/2021,20893,667,667,0.031924568,2021
95,DC,EPA,True,South,Equal Pay Act,US,State Receipts,State Receipts,DC,EEOC Charge Receipts by State,FY 2021 EPA,1/1/2021,885,14,14,0.015819209,2021
96,NE,Age Based,True,Midwest,Age,US,State Receipts,State Receipts,NE,EEOC Charge Receipts by State,FY 2021 Age,1/1/2021,12962,21,21,0.00162012,2021
97,CO,EPA,True,West,Equal Pay Act,US,State Receipts,State Receipts,CO,EEOC Charge Receipts by State,FY 2021 EPA,1/1/2021,885,34,34,0.038418079,2021
98,MA,Retaliation,True,Northeast,Retaliation (All Statutes),US,State Receipts,State Receipts,MA,EEOC Charge Receipts by State,FY 2021 Retaliation All Statutes,1/1/2021,34316,144,144,0.004196293,2021
99,CO,Color Based,True,West,Color,US,State Receipts,State Receipts,CO,EEOC Charge Receipts by State,FY 2021 Color,1/1/2021,3513,83,83,0.02362653,2021
100,ID,Disability Based,True,West,Disability,US,State Receipts,State Receipts,ID,EEOC Charge Receipts by State,FY 2021 Disability,1/1/2021,22857,18,18,0.000787505,2021
101,WQ,Race,True,Territories/Armed Forces,Race,US,State Receipts,State Receipts,WQ,EEOC Charge Receipts by State,FY 2021 Race,1/1/2021,20893,0,0,0.0,2021
102,MH,GINA,True,Territories/Armed Forces,GINA,US,State Receipts,State Receipts,MH,EEOC Charge Receipts by State,FY 2021 GINA,1/1/2021,242,0,0,0.0,2021
103,MN,TVII Retaliation,True,Midwest,Retaliation (TVII),US,State Receipts,State Receipts,MN,EEOC Charge Receipts by State,FY 2021 TVII Retaliation  Statutes,1/1/2021,25107,281,281,0.011192098,2021
104,MT,Retaliation,True,West,Retaliation (All Statutes),US,State Receipts,State Receipts,MT,EEOC Charge Receipts by State,FY 2021 Retaliation All Statutes,1/1/2021,34316,32,32,0.00093251,2021
105,AR,Age Based,True,South,Age,US,State Receipts,State Receipts,AR,EEOC Charge Receipts by State,FY 2021 Age,1/1/2021,12962,186,186,0.014349637,2021
106,NH,National Origin Based,True,Northeast,National Origin,US,State Receipts,State Receipts,NH,EEOC Charge Receipts by State,FY 2021 National Origin,1/1/2021,6208,5,5,0.000805412,2021
107,DC,Age Based,True,South,Age,US,State Receipts,State Receipts,DC,EEOC Charge Receipts by State,FY 2021 Age,1/1/2021,12962,74,74,0.005708996,2021
108,TN,TVII Retaliation,True,South,Retaliation (TVII),US,State Receipts,State Receipts,TN,EEOC Charge Receipts by State,FY 2021 TVII Retaliation  Statutes,1/1/2021,25107,972,972,0.038714303,2021
109,IN,Sex,True,Midwest,Sex,US,State Receipts,State Receipts,IN,EEOC Charge Receipts by State,FY 2021 Sex,1/1/2021,18754,495,495,0.026394369,2021
110,MA,EPA,True,Northeast,Equal Pay Act,US,State Receipts,State Receipts,MA,EEOC Charge Receipts by State,FY 2021 EPA,1/1/2021,885,9,9,0.010169492,2021
111,AZ,National Origin Based,True,West,National Origin,US,State Receipts,State Receipts,AZ,EEOC Charge Receipts by State,FY 2021 National Origin,1/1/2021,6208,185,185,0.029800258,2021
112,VT,Retaliation,True,Northeast,Retaliation (All Statutes),US,State Receipts,State Receipts,VT,EEOC Charge Receipts by State,FY 2021 Retaliation All Statutes,1/1/2021,34316,24,24,0.000699382,2021
113,NV,GINA,True,West,GINA,US,State Receipts,State Receipts,NV,EEOC Charge Receipts by State,FY 2021 GINA,1/1/2021,242,11,11,0.045454545,2021
114,SC,Sex,True,South,Sex,US,State Receipts,State Receipts,SC,EEOC Charge Receipts by State,FY 2021 Sex,1/1/2021,18754,302,302,0.016103231,2021
115,WI,GINA,True,Midwest,GINA,US,State Receipts,State Receipts,WI,EEOC Charge Receipts by State,FY 2021 GINA,1/1/2021,242,1,1,0.004132231,2021
116,MO,TVII Retaliation,True,Midwest,Retaliation (TVII),US,State Receipts,State Receipts,MO,EEOC Charge Receipts by State,FY 2021 TVII Retaliation  Statutes,1/1/2021,25107,646,646,0.025729876,2021
117,CT,Age Based,True,Northeast,Age,US,State Receipts,State Receipts,CT,EEOC Charge Receipts by State,FY 2021 Age,1/1/2021,12962,60,60,0.004628915,2021
118,MH,EPA,True,Territories/Armed Forces,Equal Pay Act,US,State Receipts,State Receipts,MH,EEOC Charge Receipts by State,FY 2021 EPA,1/1/2021,885,0,0,0.0,2021
119,AK,EPA,True,West,Equal Pay Act,US,State Receipts,State Receipts,AK,EEOC Charge Receipts by State,FY 2021 EPA,1/1/2021,885,1,1,0.001129944,2021
120,FM,Religion,True,Territories/Armed Forces,Religion,US,State Receipts,State Receipts,FM,EEOC Charge Receipts by State,FY 2021 Religion,1/1/2021,2108,0,0,0.0,2021
121,AS,GINA,True,Territories/Armed Forces,GINA,US,State Receipts,State Receipts,AS,EEOC Charge Receipts by State,FY 2021 GINA,1/1/2021,242,0,0,0.0,2021
122,NV,Age Based,True,West,Age,US,State Receipts,State Receipts,NV,EEOC Charge Receipts by State,FY 2021 Age,1/1/2021,12962,297,297,0.022913131,2021
123,WV,Retaliation,True,South,Retaliation (All Statutes),US,State Receipts,State Receipts,WV,EEOC Charge Receipts by State,FY 2021 Retaliation All Statutes,1/1/2021,34316,48,48,0.001398764,2021
124,SD,GINA,True,Midwest,GINA,US,State Receipts,State Receipts,SD,EEOC Charge Receipts by State,FY 2021 GINA,1/1/2021,242,0,0,0.0,2021
125,MS,Age Based,True,South,Age,US,State Receipts,State Receipts,MS,EEOC Charge Receipts by State,FY 2021 Age,1/1/2021,12962,202,202,0.015584015,2021
126,WY,Disability Based,True,West,Disability,US,State Receipts,State Receipts,WY,EEOC Charge Receipts by State,FY 2021 Disability,1/1/2021,22857,14,14,0.000612504,2021
127,NJ,Religion,True,Northeast,Religion,US,State Receipts,State Receipts,NJ,EEOC Charge Receipts by State,FY 2021 Religion,1/1/2021,2108,60,60,0.028462998,2021
128,KY,Retaliation,True,South,Retaliation (All Statutes),US,State Receipts,State Receipts,KY,EEOC Charge Receipts by State,FY 2021 Retaliation All Statutes,1/1/2021,34316,229,229,0.006673272,2021
129,GA,Race,True,South,Race,US,State Receipts,State Receipts,GA,EEOC Charge Receipts by State,FY 2021 Race,1/1/2021,20893,1290,1290,0.061743168,2021
130,VI,Age Based,True,Territories/Armed Forces,Age,US,State Receipts,State Receipts,VI,EEOC Charge Receipts by State,FY 2021 Age,1/1/2021,12962,1,1,7.714858818e-05,2021
131,KS,National Origin Based,True,Midwest,National Origin,US,State Receipts,State Receipts,KS,EEOC Charge Receipts by State,FY 2021 National Origin,1/1/2021,6208,54,54,0.008698454,2021
132,WV,EPA,True,South,Equal Pay Act,US,State Receipts,State Receipts,WV,EEOC Charge Receipts by State,FY 2021 EPA,1/1/2021,885,3,3,0.003389831,2021
133,MO,Sex,True,Midwest,Sex,US,State Receipts,State Receipts,MO,EEOC Charge Receipts by State,FY 2021 Sex,1/1/2021,18754,459,459,0.024474779,2021
134,WQ,Age Based,True,Territories/Armed Forces,Age,US,State Receipts,State Receipts,WQ,EEOC Charge Receipts by State,FY 2021 Age,1/1/2021,12962,0,0,0.0,2021
135,NV,Race,True,West,Race,US,State Receipts,State Receipts,NV,EEOC Charge Receipts by State,FY 2021 Race,1/1/2021,20893,303,303,0.014502465,2021
136,ID,Race,True,West,Race,US,State Receipts,State Receipts,ID,EEOC Charge Receipts by State,FY 2021 Race,1/1/2021,20893,9,9,0.000430766,2021
137,CT,Color Based,True,Northeast,Color,US,State Receipts,State Receipts,CT,EEOC Charge Receipts by State,FY 2021 Color,1/1/2021,3513,31,31,0.008824367,2021
138,RI,National Origin Based,True,Northeast,National Origin,US,State Receipts,State Receipts,RI,EEOC Charge Receipts by State,FY 2021 National Origin,1/1/2021,6208,7,7,0.001127577,2021
139,AZ,Retaliation,True,West,Retaliation (All Statutes),US,State Receipts,State Receipts,AZ,EEOC Charge Receipts by State,FY 2021 Retaliation All Statutes,1/1/2021,34316,804,804,0.023429304,2021
140,OK,Sex,True,South,Sex,US,State Receipts,State Receipts,OK,EEOC Charge Receipts by State,FY 2021 Sex,1/1/2021,18754,195,195,0.010397782,2021
141,AK,Race,True,West,Race,US,State Receipts,State Receipts,AK,EEOC Charge Receipts by State,FY 2021 Race,1/1/2021,20893,16,16,0.000765807,2021
142,OK,Religion,True,South,Religion,US,State Receipts,State Receipts,OK,EEOC Charge Receipts by State,FY 2021 Religion,1/1/2021,2108,23,23,0.010910816,2021
143,CT,EPA,True,Northeast,Equal Pay Act,US,State Receipts,State Receipts,CT,EEOC Charge Receipts by State,FY 2021 EPA,1/1/2021,885,2,2,0.002259887,2021
144,UT,EPA,True,West,Equal Pay Act,US,State Receipts,State Receipts,UT,EEOC Charge Receipts by State,FY 2021 EPA,1/1/2021,885,5,5,0.005649718,2021
145,WA,Disability Based,True,West,Disability,US,State Receipts,State Receipts,WA,EEOC Charge Receipts by State,FY 2021 Disability,1/1/2021,22857,345,345,0.015093844,2021
146,SD,EPA,True,Midwest,Equal Pay Act,US,State Receipts,State Receipts,SD,EEOC Charge Receipts by State,FY 2021 EPA,1/1/2021,885,4,4,0.004519774,2021
147,MI,National Origin Based,True,Midwest,National Origin,US,State Receipts,State Receipts,MI,EEOC Charge Receipts by State,FY 2021 National Origin,1/1/2021,6208,77,77,0.012403351,2021
148,ND,Race,True,Midwest,Race,US,State Receipts,State Receipts,ND,EEOC Charge Receipts by State,FY 2021 Race,1/1/2021,20893,15,15,0.000717944,2021
149,RI,Race,True,Northeast,Race,US,State Receipts,State Receipts,RI,EEOC Charge Receipts by State,FY 2021 Race,1/1/2021,20893,15,15,0.000717944,2021
150,PR,Race,True,Territories/Armed Forces,Race,US,State Receipts,State Receipts,PR,EEOC Charge Receipts by State,FY 2021 Race,1/1/2021,20893,7,7,0.00033504,2021
151,ID,Age Based,True,West,Age,US,State Receipts,State Receipts,ID,EEOC Charge Receipts by State,FY 2021 Age,1/1/2021,12962,10,10,0.000771486,2021
152,MD,Color Based,True,South,Color,US,State Receipts,State Receipts,MD,EEOC Charge Receipts by State,FY 2021 Color,1/1/2021,3513,159,159,0.045260461,2021
153,MH,Retaliation,True,Territories/Armed Forces,Retaliation (All Statutes),US,State Receipts,State Receipts,MH,EEOC Charge Receipts by State,FY 2021 Retaliation All Statutes,1/1/2021,34316,0,0,0.0,2021
154,DC,Retaliation,True,South,Retaliation (All Statutes),US,State Receipts,State Receipts,DC,EEOC Charge Receipts by State,FY 2021 Retaliation All Statutes,1/1/2021,34316,254,254,0.007401795,2021
155,ME,TVII Retaliation,True,Northeast,Retaliation (TVII),US,State Receipts,State Receipts,ME,EEOC Charge Receipts by State,FY 2021 TVII Retaliation  Statutes,1/1/2021,25107,12,12,0.000477954,2021
156,AZ,Race,True,West,Race,US,State Receipts,State Receipts,AZ,EEOC Charge Receipts by State,FY 2021 Race,1/1/2021,20893,349,349,0.016704159,2021
157,VA,Disability Based,True,South,Disability,US,State Receipts,State Receipts,VA,EEOC Charge Receipts by State,FY 2021 Disability,1/1/2021,22857,655,655,0.028656429,2021
